"pair.no" "ind1.id" "ind2.id" "group" "trioml" "wang" "lynchli" "lynchrd" "ritland" "quellergt" "dyadml"
"133" 133 "913" "451" "9145" 0 -0.0698 -0.0728 -0.0099 -0.0147 -0.0272 0
"134" 134 "913" "464" "9146" 0 -0.066 -0.068 -0.0031 -0.005 -0.0263 0
"135" 135 "913" "472" "9147" 0 -0.0659 -0.0797 -0.0112 -0.0341 -0.0322 0
"136" 136 "913" "1091" "9110" 0 -0.0812 -0.0765 -0.0124 -0.0191 -0.0274 0
"137" 137 "913" "448" "9144" 0 -0.0765 -0.085 -0.0185 -0.023 -0.0394 0
"138" 138 "913" "461" "9146" 0 -0.0961 -0.1004 -0.0354 -0.0471 -0.052 0
"139" 139 "919" "915" "9191" 0 -0.032 -0.0404 0.0276 0.0448 0.0211 0
"140" 140 "919" "916" "9191" 0 -0.0338 -0.0287 0.0188 0.0359 0.0227 0
"141" 141 "919" "920" "9192" 0 -0.014 -0.0149 0.0226 0.0338 0.0318 0
"142" 142 "919" "921" "9192" 0 0.005 -0.0027 0.0287 0.039 0.0359 0
"143" 143 "919" "922" "9192" 0 -0.0683 -0.0707 -0.0323 -0.0481 -0.0516 0
"144" 144 "919" "923" "9192" 0 -0.0422 -0.042 -0.0207 -0.0137 -0.0187 0
"145" 145 "919" "922" "9192" 0 -0.0683 -0.0707 -0.0323 -0.0481 -0.0516 0
"146" 146 "919" "925" "9192" 0 -0.0687 -0.0749 -0.0234 -0.044 -0.0493 0
"147" 147 "919" "923" "9192" 0 -0.0422 -0.042 -0.0207 -0.0137 -0.0187 0
"148" 148 "919" "925" "9192" 0 -0.0687 -0.0749 -0.0234 -0.044 -0.0493 0
"149" 149 "919" "987" "9198" 0 -0.1376 -0.144 -0.0267 -0.0447 -0.0701 0
"150" 150 "919" "988" "9198" 0 -0.1253 -0.1312 3e-04 0.0032 -0.0576 0
"151" 151 "919" "982" "9198" 0 -0.1303 -0.1317 -0.0254 -0.0417 -0.0611 0
"152" 152 "919" "983" "9198" 0 -0.108 -0.1169 -0.0068 -0.0125 -0.0547 0
"153" 153 "919" "468" "9146" 0 -0.1266 -0.1259 -0.0453 -0.0535 -0.069 0
"154" 154 "919" "471" "9147" 0 -0.1202 -0.1201 -0.0144 -0.0141 -0.049 0
"155" 155 "919" "468" "9146" 0 -0.1266 -0.1259 -0.0453 -0.0535 -0.069 0
"156" 156 "919" "984" "9198" 0 -0.1217 -0.1275 -0.0307 -0.044 -0.0697 0
"157" 157 "919" "473" "9147" 0 -0.0797 -0.0781 -0.0088 -0.0143 -0.0306 0
"158" 158 "919" "1089" "9110" 0 -0.0916 -0.0988 -0.0191 -0.0358 -0.0485 0
"159" 159 "919" "466" "9146" 0 -0.0679 -0.0632 -0.0171 -0.0236 -0.0256 0
"160" 160 "919" "1088" "9110" 0 -0.0801 -0.0797 -0.0356 -0.0431 -0.052 0
"161" 161 "919" "1085" "9110" 0 -0.0857 -0.0776 -0.0245 -0.0371 -0.0461 0
"162" 162 "919" "1088" "9110" 0 -0.0801 -0.0797 -0.0356 -0.0431 -0.052 0
"163" 163 "919" "465" "9146" 0 -0.0699 -0.0648 -0.0049 -9e-04 -0.0181 0
"164" 164 "919" "1085" "9110" 0 -0.0857 -0.0776 -0.0245 -0.0371 -0.0461 0
"165" 165 "919" "477" "9147" 0 -0.0617 -0.0616 -0.045 -0.0635 -0.0749 0
"166" 166 "919" "1093" "9110" 0 -0.1026 -0.0983 -0.1088 -0.0878 -0.1119 0
"167" 167 "919" "457" "9145" 0 -0.1056 -0.1052 -0.0533 -0.0806 -0.1079 0
"168" 168 "919" "1093" "9110" 0 -0.1026 -0.0983 -0.1088 -0.0878 -0.1119 0
"169" 169 "919" "1084" "9110" 0 -0.0983 -0.094 -0.0961 -0.0821 -0.0997 0
"170" 170 "919" "1093" "9110" 0 -0.1026 -0.0983 -0.1088 -0.0878 -0.1119 0
"171" 171 "919" "477" "9147" 0 -0.0617 -0.0616 -0.045 -0.0635 -0.0749 0
"172" 172 "919" "1084" "9110" 0 -0.0983 -0.094 -0.0961 -0.0821 -0.0997 0
"173" 173 "919" "457" "9145" 0 -0.1056 -0.1052 -0.0533 -0.0806 -0.1079 0
"174" 174 "919" "477" "9147" 0 -0.0617 -0.0616 -0.045 -0.0635 -0.0749 0
"175" 175 "919" "457" "9145" 0 -0.1056 -0.1052 -0.0533 -0.0806 -0.1079 0
"176" 176 "919" "1084" "9110" 0 -0.0983 -0.094 -0.0961 -0.0821 -0.0997 0
"177" 177 "919" "451" "9145" 0 -0.1138 -0.1264 -0.0346 -0.065 -0.0779 0
"178" 178 "919" "464" "9146" 0 -0.0906 -0.093 -0.0197 -0.0283 -0.0482 0
"179" 179 "919" "472" "9147" 0 -0.0824 -0.0914 -0.0189 -0.0344 -0.0418 0
"180" 180 "919" "1091" "9110" 0 -0.0743 -0.0786 -0.014 -0.0233 -0.0301 0
"181" 181 "919" "448" "9144" 0 -0.0842 -0.085 -0.0061 -0.0114 -0.0374 0
"182" 182 "919" "461" "9146" 0 -0.0825 -0.0898 -0.0146 -0.0215 -0.0422 0
"183" 183 "915" "916" "9191" 0 0.1859 0.1928 0.1389 0.2765 0.2283 0
"184" 184 "915" "920" "9192" 0 -0.0624 -0.0563 0.0126 0.026 0.0112 0
"185" 185 "915" "921" "9192" 0 -0.0733 -0.0696 -0.0066 -0.0047 -0.0133 0
"186" 186 "915" "922" "9192" 0 -0.0435 -0.0542 -0.024 -0.0407 -0.0347 0
"187" 187 "915" "923" "9192" 0 -0.0499 -0.0489 -0.0325 -0.0341 -0.0307 0
"188" 188 "915" "922" "9192" 0 -0.0435 -0.0542 -0.024 -0.0407 -0.0347 0
"189" 189 "915" "925" "9192" 0 -0.0498 -0.0595 -0.0185 -0.0384 -0.0305 0
"190" 190 "915" "923" "9192" 0 -0.0499 -0.0489 -0.0325 -0.0341 -0.0307 0
"191" 191 "915" "925" "9192" 0 -0.0498 -0.0595 -0.0185 -0.0384 -0.0305 0
"192" 192 "915" "987" "9198" 0 -0.132 -0.1371 -0.0115 -0.0147 -0.0616 0
"193" 193 "915" "988" "9198" 0 -0.1277 -0.1408 -6e-04 -0.0085 -0.056 0
"194" 194 "915" "982" "9198" 0 -0.1398 -0.1498 -0.0245 -0.0531 -0.0803 0
"195" 195 "915" "983" "9198" 0 -0.0943 -0.111 -0.0077 -0.0169 -0.0389 0
"196" 196 "915" "468" "9146" 0 -0.1397 -0.1487 -0.0523 -0.0643 -0.0837 0
"197" 197 "915" "471" "9147" 0 -0.1454 -0.1498 -0.0352 -0.0463 -0.0752 0
"198" 198 "915" "468" "9146" 0 -0.1397 -0.1487 -0.0523 -0.0643 -0.0837 0
"199" 199 "915" "984" "9198" 0 -0.1122 -0.1291 -0.0113 -0.0253 -0.0545 0
"200" 200 "915" "473" "9147" 0 -0.1091 -0.111 -0.0269 -0.0404 -0.0724 0
"201" 201 "915" "1089" "9110" 0 -0.1322 -0.1392 -0.0314 -0.0484 -0.0872 0
"202" 202 "915" "466" "9146" 0 -0.0808 -0.0839 -0.0272 -0.0394 -0.0466 0
"203" 203 "915" "1088" "9110" 0 -0.0849 -0.0877 -0.0465 -0.054 -0.0574 0
"204" 204 "915" "1085" "9110" 0 -0.0668 -0.0542 -0.0131 -0.0107 -0.0215 0
"205" 205 "915" "1088" "9110" 0 -0.0849 -0.0877 -0.0465 -0.054 -0.0574 0
"206" 206 "915" "465" "9146" 0 -0.0894 -0.0956 -0.0165 -0.0363 -0.0426 0
"207" 207 "915" "1085" "9110" 0 -0.0668 -0.0542 -0.0131 -0.0107 -0.0215 0
"208" 208 "915" "477" "9147" 0 -0.055 -0.0547 -0.041 -0.071 -0.0593 0
"209" 209 "915" "1093" "9110" 0 -0.0793 -0.077 -0.101 -0.0925 -0.0891 0
"210" 210 "915" "457" "9145" 0 -0.0836 -0.0887 -0.0456 -0.0794 -0.0961 0
"211" 211 "915" "1093" "9110" 0 -0.0793 -0.077 -0.101 -0.0925 -0.0891 0
"212" 212 "915" "1084" "9110" 0 -0.0787 -0.076 -0.0875 -0.0785 -0.0767 0
"213" 213 "915" "1093" "9110" 0 -0.0793 -0.077 -0.101 -0.0925 -0.0891 0
"214" 214 "915" "477" "9147" 0 -0.055 -0.0547 -0.041 -0.071 -0.0593 0
"215" 215 "915" "1084" "9110" 0 -0.0787 -0.076 -0.0875 -0.0785 -0.0767 0
"216" 216 "915" "457" "9145" 0 -0.0836 -0.0887 -0.0456 -0.0794 -0.0961 0
"217" 217 "915" "477" "9147" 0 -0.055 -0.0547 -0.041 -0.071 -0.0593 0
"218" 218 "915" "457" "9145" 0 -0.0836 -0.0887 -0.0456 -0.0794 -0.0961 0
"219" 219 "915" "1084" "9110" 0 -0.0787 -0.076 -0.0875 -0.0785 -0.0767 0
"220" 220 "915" "451" "9145" 0 -0.0999 -0.1073 -0.0267 -0.0515 -0.0534 0
"221" 221 "915" "464" "9146" 0 -0.1014 -0.1089 -0.0187 -0.0394 -0.0589 0
"222" 222 "915" "472" "9147" 0 -0.1081 -0.1132 -0.0257 -0.0525 -0.0615 0
"223" 223 "915" "1091" "9110" 0 -0.0967 -0.102 -0.022 -0.0349 -0.0532 0
"224" 224 "915" "448" "9144" 0 -0.0485 -0.0531 0.0012 0.0098 -0.0039 0
"225" 225 "915" "461" "9146" 0 -0.0744 -0.076 -0.0107 -0.0066 -0.0192 0
"226" 226 "916" "920" "9192" 0 -0.0592 -0.0627 -0.0063 -0.0087 -0.008 0
"227" 227 "916" "921" "9192" 0 -0.0567 -0.0616 -0.0085 -0.0151 -0.0186 0
"228" 228 "916" "922" "9192" 0 -0.0395 -0.0473 -0.0193 -0.0448 -0.0399 0
"229" 229 "916" "923" "9192" 0 -0.0482 -0.0484 -0.0348 -0.0429 -0.0325 0
"230" 230 "916" "922" "9192" 0 -0.0395 -0.0473 -0.0193 -0.0448 -0.0399 0
